country_economy,level,policyType,keyPolicyMeasuresAndTargets,year,category,source,policyStage
Poland,National,Target,"Installation of 49 000 slow and 11 000 fast charging points by 2030, with an ambition for as many as 85 000 and 15 000 respectively.",2020.0,EVSE,Government of Poland,ZEV Mandates
Poland,National,Target,"In cities of more than 100 000 people, ZEVs to make up 100% of new public transport purchases by 2025, and 100% of all public transport vehicles by 2030.",2020.0,Bus,Government of Poland,ZEV Mandates
Poland,National,Target,"600 000 EVs and hybrids by 2030, with an ambition of up to 1 million by 2025.",2020.0,LDV,Government of Poland,ZEV Mandates
Romania,National,Legislation,"Grants towards the purchase of a BEV, lower amounts for a PHEVs, with mandatory scrappage of one car, and various bonuses available.",2020.0,LDV,Government of Romania,EV Grants
Romania,National,Ambition,700 000 BEV and P/HEVs by 2030,2020.0,LDV,Government of Romania,ZEV Mandates
Romania,National,Ambition,"600 000 charging stations, 40 000 of which are fast or semi-fast.",2020.0,EVSE,Government of Romania,Infrastructure Spending
Singapore,National,Target,"Deploy 60 000 EV charging points by 2030, 40 000 in public car parks and 20 000 in private premises.",2020.0,EVSE,Government of Singapore,ZEV Mandates
Singapore,National,Target,"All new buses since 2020 are EV or hybrid, with the aim of phasing out all existing diesel buses by 2040 (100% of stock to be EV by 2040).",2020.0,Bus,Government of Singapore,ZEV Mandates
Spain,National,Ambition,100 000 charging points to support 250 000 EVs by 2023.,2020.0,EVSE,Government of Spain,Direct Subsidies
Sweden,National,Legislation,"Grants of up to 50% of the cost of the charging station. This grant does not apply to private citizens, public charging infrastructure or charging stations required to be installed by law, other constitution of conditions in permits. The grant applies to charging stations for BEV for residents or employees.",2020.0,EVSE,Government of Sweden,ZEV Mandates
Switzerland,National,Ambition,"Sales shares of 28% in 2025, 60% in 2030, and 100% from 2040 for BEV, PHEV, and FCEV. BEV and FCEV only from 2050.",2020.0,LDV,Swiss Federal Government,ZEV Mandates
